Номер;ГК/Филиал;Подразделение;Департамент;Отдел;Должность;ФИО;Ставка;ФОТ;Регион;Квалификация;Свобода_решений;Правила_подразделения;Правила_компании;Люди_в_адм_подчинении;Люди_в_функц_подчинении_внешние;Цель_общения_компания;Год_влияние_на_финрезультат;Стоимость_ошибки
8828565;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Макаркина Каролина Антониновна;1;50000;москва;2;1;1;1;1;1;1;1;1
9203798;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;Отдел технической оценки риска;Специалист;Кобзева Инесса Владиленовна;1;25000;москва;2;1;1;1;1;1;1;1;1
877997;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Белоконь Пимен Трофимович;1;100000;москва;3;2;2;1;1;1;3;1;1
1262611;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Голубовский Даниил Кириллович;1;60000;москва;3;2;2;1;1;1;3;1;1
1448018;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Сонина Ариадна Елисеевна;1;65000;москва;3;2;2;1;1;1;3;1;1
1828921;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Соломин Кондратий Тихонович;1;45000;москва;3;2;2;1;1;1;3;1;1
2523357;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Курбатов Эммануил Кондратиевич;1;80000;москва;3;2;2;1;1;1;3;1;1
2957963;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Глускина Бронислава Казимировна;1;50000;москва;3;2;2;1;1;1;3;1;1
4029353;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Ложкин Пахом Агапович;1;70000;москва;3;2;2;1;1;1;3;1;1
4218874;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Рашета Любава Иосифовна;1;60000;москва;3;2;2;1;1;1;3;1;1
6314306;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Кондучалов Евграф Давидович;1;100000;москва;3;2;2;1;1;1;3;1;1
9616403;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Андеррайтер;Селидов Август Фролович;1;90000;москва;3;2;2;1;1;1;3;1;1
1943894;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Ведущий специалист;Поварницына Валентина Федотовна;1;50000;москва;3;2;1;1;1;1;1;1;1
4987633;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Ведущий специалист;Султанов Викентий Самсонович;1;70000;москва;3;2;1;1;1;1;1;1;1
184473;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Волков Фома Леонидович;1;170000;москва;5;;2;2;1;1;3;2;3
353974;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Тихоньков Тарас Иосифович;1;115000;москва;5;3;2;2;1;1;3;2;3
2974159;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Матвеев Виталий Евгениевич;1;130000;москва;5;3;2;2;1;1;3;2;3
3339290;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Сонин Сергей Давидович;1;85000;москва;4;2;1;1;1;1;3;2;3
3414563;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Бажанова Тамара Георгиевна;1;150000;москва;4;2;1;1;1;1;3;2;3
3966843;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Полунина Ефросинья Степановна;1;100000;москва;4;2;1;1;1;1;3;2;3
4333124;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Лапухова Рената Евгениевна;1;80000;москва;4;2;1;1;1;1;3;2;3
5098042;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Саянков Федор Семенович;1;173000;москва;5;3;2;2;1;;3;2;3
5893210;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Ипатьева Владислава Ираклиевна;1;80000;москва;4;2;1;1;1;1;3;2;3
6097880;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Коньякова Евдокия Владиленовна;1;70000;москва;4;2;1;1;1;1;3;2;3
6592316;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Вавилов Василий Герасимович;1;115000;москва;5;3;2;2;1;1;3;2;3
7851003;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Ласкутин Борис Федорович;1;170000;москва;5;3;2;2;1;1;3;2;3
8899564;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Килин Иван Ефремович;1;150000;москва;4;2;1;1;1;1;3;2;3
9552269;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный андеррайтер;Рубанов Ираклий Левович;1;75000;москва;4;2;1;1;1;1;3;2;3
3159224;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Главный специалист;Кузьминых Фока Натанович;1;70000;москва;5;3;2;2;1;1;3;1;2
4442106;Головная компания;Блок андеррайтинга;Департамент оперативного андеррайтинга;;Руководитель департамента;Бухарин Ярослав Ипполитович;1;230000;москва;5;3;2;2;1;1;3;2;3
6089257;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Аналитик;Набоко Август Владимирович;1;90000;москва;3;2;2;3;1;1;2;1;3
4028916;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Главный специалист;Чиркаш Соломон Федосиевич;1;140000;москва;5;3;2;3;1;1;3;1;3
4999093;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Главный специалист;Тихвинский Прокофий Серафимович;1;95000;москва;5;3;2;2;1;1;2;3;2
6060848;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Главный специалист;Юбкин Рубен Валерьянович;1;240000;москва;5;4;2;4;2;1;3;4;2
8704649;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Руководитель отдела;Низовкин Венедикт Семенович;1;260000;москва;5;4;2;4;2;1;3;4;3
6441706;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел автострахования и тарификации;Специалист;Шаврин Захар Прокофиевич;1;50000;москва;2;2;1;1;1;1;1;1;1
359333;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Главный андеррайтер;Шеншина Яна Никитевна;1;200000;москва;5;3;2;2;1;1;2;3;5
4583214;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Главный андеррайтер;Аносов Варфоломей Миронович;1;130000;москва;5;3;2;2;1;1;2;3;5
7489204;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Главный методолог;Тоболенко Андрей Ипатиевич;1;100000;москва;4;4;2;3;1;1;2;1;3
246681;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Главный специалист;Легкодимова Римма Станиславовна;1;150000;москва;5;3;2;2;1;1;2;3;4
4342044;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Заместитель руководителя отдела;Татауров Филимон Ипатиевич;1;230000;москва;4;3;1;2;2;1;2;3;5
8342505;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел имущественного страхования;Руководитель отдела;Савватимов Алексей Филимонович;1;230000;москва;5;4;2;4;2;1;3;4;5
7355028;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел перестрахования;Андеррайтер;Другакова Агафья Семеновна;1;75000;москва;3;2;1;1;1;1;1;1;1
7516593;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел перестрахования;Андеррайтер;Блатов Мирон Всеволодович;1;60000;москва;3;2;1;1;1;1;1;1;1
4164430;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел перестрахования;Ведущий андеррайтер;Любимцев Дмитрий Андронович;1;85000;москва;4;2;1;1;1;1;1;1;1
403550;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел перестрахования;Руководитель отдела;Кунаева Лиана Владленовна;1;300000;москва;6;5;2;4;2;1;3;5;5
1067794;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел страхования специальных рисков;Главный андеррайтер;Заседателев Якуб Давыдович;1;100000;москва;4;3;1;2;1;1;3;3;5
1573104;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел страхования специальных рисков;Главный андеррайтер;Хабибуллин Ираклий Артемиевич;1;120000;москва;4;3;1;2;1;1;3;3;5
3577985;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел страхования специальных рисков;Главный методолог;Таначёва Марфа Серафимовна;1;90000;москва;4;3;1;2;1;1;3;1;3
4370327;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;Отдел страхования специальных рисков;Руководитель отдела;Мизенова Ираида Казимировна;1;200000;москва;4;4;2;4;2;1;3;4;4
8073765;Головная компания;Блок андеррайтинга;Департамент управления страховым портфелем;;Руководитель департамента;Девяткова Пелагея Тихоновна;1;550000;москва;6;5;3;4;3;1;3;5;6
2160599;Головная компания;Блок андеррайтинга;;;Вице-президент;Абушаева Ирина Леонидовна;1;290000;москва;4;3;1;1;2;1;2;1;1
21147;Головная компания;Блок андеррайтинга;;;Заместитель вице-президента;Хомколов Олег Титович;1;230000;москва;5;3;2;3;2;1;2;4;3
8122287;Головная компания;Блок андеррайтинга;;;Заместитель вице-президента;Редругин Евсей Казимирович;1;180000;москва;5;4;3;4;2;1;3;4;3
9770500;Головная компания;Блок андеррайтинга;;;Заместитель вице-президента;Агафонова Рада Алексеевна;1;240000;москва;5;4;3;4;2;1;3;4;3
4678263;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Ведущий специалист;Кучава Лукьян Леонович;1;100000;москва;4;3;1;1;1;1;1;1;1
8423855;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Ведущий специалист;Яцко Евстигней Чеславович;1;100000;москва;4;3;1;1;1;1;1;1;1
146124;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Главный специалист;Шерешевский Анатолий Валериевич;1;130000;москва;5;4;3;3;2;1;3;1;4
6776666;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Главный специалист;Нямин Василий Натанович;1;130000;москва;5;4;3;3;2;1;3;1;4
8462128;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Главный специалист;Лебедков Глеб Самуилович;1;100000;москва;4;3;1;1;1;1;1;1;1
1129575;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Руководитель департамента;Ященко Мирослав Андронович;1;350000;москва;5;4;3;3;2;1;3;1;4
9885141;Головная компания;Блок информационных технологий;Департамент аналитических систем;;Специалист;Царицын Виссарион Денисович;1;60000;москва;4;3;1;1;1;1;1;1;1
3934829;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Кулагин Артем Аполлинариевич;1;230000;москва;4;3;1;1;1;1;3;1;1
3961625;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Чичеринов Всеволод Мечиславович;1;200000;москва;4;3;1;1;1;1;3;1;1
4146005;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Конакова Мирослава Романовна;1;230000;москва;4;3;1;1;1;1;3;1;1
4918791;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Нарыкова Фаина Геннадиевна;1;230000;москва;4;3;1;1;1;1;3;1;1
4982188;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Кабаидзе Кузьма Ильевич;1;200000;москва;4;3;1;1;1;1;3;1;1
5850441;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Ягеман Макар Арсениевич;1;200000;москва;4;3;1;1;1;1;3;1;1
5978949;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Перов Владислав Остапович;1;201500;москва;4;3;1;1;1;1;3;1;1
6523999;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Козлитин Всеслав Ерофеевич;1;190000;москва;4;3;1;1;1;1;3;1;1
8837164;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Заварзин Роман Несторович;1;220000;москва;4;3;1;1;1;1;3;1;1
9583546;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Главный специалист;Гадолина Таисия Всеволодовна;1;230000;москва;4;3;1;1;1;1;3;1;1
5471947;Головная компания;Блок информационных технологий;Департамент взаимодействия с функциональными блоками и проектной деятельности;;Руководитель департамента;Мишина Элеонора Федотовна;1;380000;москва;6;6;3;3;3;1;3;2;3
7704984;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Архитектор инфраструктурных решений;Бесфамильный Мирослав Архипович;1;250000;москва;5;4;2;1;1;1;1;1;3
692397;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Ведущий специалист;Ярушина Галина Мефодиевна;1;80000;москва;3;2;1;1;1;1;1;1;1
4757084;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Ведущий специалист;Родионова Всеслава Федоровна;1;65000;москва;3;2;1;1;1;1;1;1;1
6624704;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Ведущий специалист;Ерхов Самсон Ермолаевич;1;80000;москва;3;2;1;1;1;1;1;1;1
1532863;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Главный специалист;Гущин Андрей Данилевич;1;85000;москва;3;2;1;1;1;1;1;1;1
3105543;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Главный специалист;Малец Семен Кондратиевич;1;100000;москва;3;2;1;1;1;1;1;1;1
6521953;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Главный специалист;Некрестьянова Всеслава Марковна;1;90000;москва;3;2;1;1;1;1;1;1;1
3649055;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел серверной инфраструктуры;Руководитель отдела;Коржаков Ираклий Ростиславович;1;120000;москва;5;4;3;2;2;1;2;1;4
9212331;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел сетевой инфраструктуры;Архитектор инфраструктурных решений;Шаршин Глеб Эмилевич;1;170000;москва;5;4;2;1;1;1;1;1;3
6183178;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел сетевой инфраструктуры;Главный специалист;Ульянов Глеб Тарасович;1;110000;москва;3;2;1;1;1;1;1;1;1
7012220;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел сетевой инфраструктуры;Главный специалист;Эмина Варвара Брониславовна;1;100000;москва;3;2;1;1;1;1;1;1;1
9022373;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел сетевой инфраструктуры;Главный специалист;Голов Иннокентий Иванович;1;120000;москва;5;3;1;1;1;1;2;1;3
9474477;Головная компания;Блок информационных технологий;Департамент инфраструктуры;Отдел сетевой инфраструктуры;Руководитель отдела;Лагутов Вениамин Сигизмундович;1;130000;москва;3;2;1;1;1;1;1;1;1
2479727;Головная компания;Блок информационных технологий;Департамент инфраструктуры;;Руководитель департамента;Бехтерев Роман Капитонович;1;200000;москва;6;5;3;3;3;1;2;2;4
307156;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Ведущий специалист;Лазарева Софья Федотовна;1;55000;москва;2;2;1;1;1;1;2;1;1
318233;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Ведущий специалист;Комягина Вероника Василиевна;1;45000;москва;2;2;1;1;1;1;2;1;1
3176235;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Ведущий специалист;Карандашов Николай Феликсович;1;55000;москва;2;2;1;1;1;1;2;1;1
5939013;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Ведущий специалист;Никеров Мефодий Куприянович;1;50000;москва;2;2;1;1;1;1;2;1;1
766633;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Главный специалист;Беленкова Элеонора Ираклиевна;1;80000;москва;5;3;2;2;1;2;3;1;1
2478720;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Главный специалист;Новичков Клавдий Несторович;1;70000;москва;4;3;2;1;1;1;2;1;1
3208381;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Главный специалист;Табаков Ростислав Мартьянович;1;85000;москва;5;3;2;2;1;2;3;1;1
3549563;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Главный специалист;Кондратов Роман Прохорович;1;70000;москва;4;3;2;1;1;1;2;1;1
4198127;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Главный специалист;Цыринский Даниил Леонидович;1;55000;москва;4;3;2;1;1;1;2;1;1
6784304;Головная компания;Блок информационных технологий;Департамент ИТ-активов и финансов;;Руководитель департамента;Сухоруков Никифор Платонович;1;160000;москва;5;4;3;3;2;1;3;3;3
3678634;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Ведущий специалист;Марченко Лада Яновна;1;50000;москва;2;2;1;1;1;1;1;1;1
5374066;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Ведущий специалист;Ерзов Родион Эрнестович;1;80000;москва;2;2;1;1;1;1;1;1;1
7066091;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Ведущий специалист;Шаронов Богдан Ефремович;1;80000;москва;2;2;1;1;1;1;1;1;1
7862167;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Ведущий специалист;Бояров Геннадий Эдуардович;1;40000;москва;2;2;1;1;1;1;1;1;1
1649413;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Главный специалист;Сергеева Римма Николаевна;1;55000;москва;2;2;1;1;1;2;1;1;1
3280753;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Главный специалист;Веретёнов Осип Ираклиевич;1;53000;москва;2;2;1;1;1;2;1;1;1
6017140;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Главный специалист;Котов Анатолий Ефремович;1;55000;москва;2;2;1;1;1;2;1;1;1
9080633;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Главный специалист;Любимов Мирон Проклович;1;60000;москва;2;2;1;1;1;2;1;1;1
5674131;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Заместитель руководителя департамента;Кузин Григорий Захарович;1;85000;москва;4;3;2;1;4;1;1;1;1
5929940;Головная компания;Блок информационных технологий;Департамент операционной поддержки пользователей;;Руководитель департамента;Зорина Екатерина Елисеевна;1;145000;москва;5;5;3;3;4;1;3;1;2
7658334;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел контроля качества информационных систем;ИТ-специалист 1-й категории;Лунин Всеволод Арсениевич;1;105000;москва;4;2;1;1;1;1;1;1;1
8605567;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел контроля качества информационных систем;ИТ-специалист 2-й категории;Ковпак Виталий Валериевич;1;115000;москва;4;1;1;1;1;1;1;1;1
9836844;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел контроля качества информационных систем;ИТ-специалист 2-й категории;Суснина Ева Казимировна;1;50000;москва;4;1;1;1;1;1;1;1;1
4936642;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел контроля качества информационных систем;Руководитель отдела;Варфоломеев Валерьян Ефремович;1;135000;москва;5;3;2;1;1;1;1;1;1
6955505;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;Заместитель руководителя отдела;Бурцева Христина Андрияновна;1;90000;москва;5;4;3;2;3;1;2;1;2
2786696;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 1-й категории;Серёгина Лариса Геннадиевна;1;90000;москва;4;2;1;1;1;1;1;1;1
3419390;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 1-й категории;Енотов Фома Семенович;1;90000;москва;4;2;1;1;1;1;1;1;1
3651140;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 1-й категории;Ясавеев Мстислав Евграфович;1;90000;москва;4;2;1;1;1;1;1;1;1
3710103;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 1-й категории;Мажулина Таисия Всеволодовна;1;90000;москва;4;2;1;1;1;1;1;1;1
6117679;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 1-й категории;Онипченко Владлен Фомевич;1;110000;москва;4;2;1;1;1;1;1;1;1
8358055;Головная компания;Блок информационных технологий;Департамент поддержки прикладных систем;Отдел поддержки прикладных систем;ИТ-специалист 2-й категории;Яцунова Аза Романовна;1;60000;москва;2;2;1;1;1;1;1;1;1
